Observation id,Behavior,Start
20230331_WT031623_26dpf_25fps,S,18.159
20230331_WT031623_26dpf_25fps,C,37.58
20230331_WT031623_26dpf_25fps,C,40.876
20230331_WT031623_26dpf_25fps,X,44.98
20230331_WT031623_26dpf_25fps,C,46.234
20230331_WT031623_26dpf_25fps,S,57.658
20230331_WT031623_26dpf_25fps,S,73.858
20230331_WT031623_26dpf_25fps,C,81.756
20230331_WT031623_26dpf_25fps,X,88.13
20230331_WT031623_26dpf_25fps,C,98.937
20230331_WT031623_26dpf_25fps,C,103.038
20230331_WT031623_26dpf_25fps,S,112.858
20230331_WT031623_26dpf_25fps,S,125.638
20230331_WT031623_26dpf_25fps,S,145.857
20230331_WT031623_26dpf_25fps,C,185.913
20230331_WT031623_26dpf_25fps,X,225.011
20230331_WT031623_26dpf_25fps,S,238.084
20230331_WT031623_26dpf_25fps,C,260.987
20230331_WT031623_26dpf_25fps,C,265.987
20230331_WT031623_26dpf_25fps,C,273.838
20230331_WT031623_26dpf_25fps,C,283.534
20230331_WT031623_26dpf_25fps,C,293.311
20230331_WT031623_26dpf_25fps,S,308.987
20230331_WT031623_26dpf_25fps,C,351.759
20230331_WT031623_26dpf_25fps,C,357.932
20230331_WT031623_26dpf_25fps,C,359.585
20230331_WT031623_26dpf_25fps,S,372.363
20230331_WT031623_26dpf_25fps,C,401.187
20230331_WT031623_26dpf_25fps,C,404.459
20230331_WT031623_26dpf_25fps,C,420.732
20230331_WT031623_26dpf_25fps,S,427.635
20230331_WT031623_26dpf_25fps,C,433.811
20230331_WT031623_26dpf_25fps,C,438.731
20230331_WT031623_26dpf_25fps,C,443.604
20230331_WT031623_26dpf_25fps,X,453.78
20230331_WT031623_26dpf_25fps,X,482.582
20230331_WT031623_26dpf_25fps,L,483.604
20230331_WT031623_26dpf_25fps,C,485.307
20230331_WT031623_26dpf_25fps,C,488.559
20230331_WT031623_26dpf_25fps,C,492.66
20230331_WT031623_26dpf_25fps,C,495.935
20230331_WT031623_26dpf_25fps,C,499.659
20230331_WT031623_26dpf_25fps,C,502.062
20230331_WT031623_26dpf_25fps,C,505.154
20230331_WT031623_26dpf_25fps,C,533.376
20230331_WT031623_26dpf_25fps,C,536.26
20230331_WT031623_26dpf_25fps,C,579.159
20230331_WT031623_26dpf_25fps,S,586.581
20230331_WT031623_26dpf_25fps,C,602.632
20230331_WT031623_26dpf_25fps,C,606.327
20230331_WT031623_26dpf_25fps,S,610.855
20230331_WT031623_26dpf_25fps,C,625.532
20230331_WT031623_26dpf_25fps,C,638.325
20230331_WT031623_26dpf_25fps,C,649.279
20230331_WT031623_26dpf_25fps,S,659.976
20230331_WT031623_26dpf_25fps,S,677.581
20230331_WT031623_26dpf_25fps,X,680.88
20230331_WT031623_26dpf_25fps,S,695.88
20230331_WT031623_26dpf_25fps,C,703.706
20230331_WT031623_26dpf_25fps,S,728.655
20230331_WT031623_26dpf_25fps,X,733.104
20230331_WT031623_26dpf_25fps,C,745.78
20230331_WT031623_26dpf_25fps,X,750.325
20230331_WT031623_26dpf_25fps,C,763.076
20230331_WT031623_26dpf_25fps,C,776.253
20230331_WT031623_26dpf_25fps,S,794.981
20230331_WT031623_26dpf_25fps,X,802.381
20230331_WT031623_26dpf_25fps,X,805.28
20230331_WT031623_26dpf_25fps,C,809.375
20230331_WT031623_26dpf_25fps,X,813.077
20230331_WT031623_26dpf_25fps,E,815.101
20230331_WT031623_26dpf_25fps,C,837.029
20230331_WT031623_26dpf_25fps,C,854.08
20230331_WT031623_26dpf_25fps,C,865.556
20230331_WT031623_26dpf_25fps,C,869.28
20230331_WT031623_26dpf_25fps,S,877.925
20230331_WT031623_26dpf_25fps,X,880.375
20230331_WT031623_26dpf_25fps,C,885.357
20230331_WT031623_26dpf_25fps,C,895.056
20230331_WT031623_26dpf_25fps,C,896.656
20230331_WT031623_26dpf_25fps,C,902.4
20230331_WT031623_26dpf_25fps,X,923.052
20230331_WT031623_26dpf_25fps,S,929.556
20230331_WT031623_26dpf_25fps,X,933.38
20230331_WT031623_26dpf_25fps,B,950.53
20230331_WT031623_26dpf_25fps,S,963.703
20230331_WT031623_26dpf_25fps,X,986.048
20230331_WT031623_26dpf_25fps,C,994.725
20230331_WT031623_26dpf_25fps,X,1007.578
20230331_WT031623_26dpf_25fps,S,1037.8
20230331_WT031623_26dpf_25fps,L,1043.175
20230331_WT031623_26dpf_25fps,C,1047.048
20230331_WT031623_26dpf_25fps,C,1055.501
20230331_WT031623_26dpf_25fps,S,1061.679
20230331_WT031623_26dpf_25fps,X,1070.104
20230331_WT031623_26dpf_25fps,C,1076.6
20230331_WT031623_26dpf_25fps,S,1116.325
20230331_WT031623_26dpf_25fps,C,1120.356
20230331_WT031623_26dpf_25fps,X,1126.05
20230331_WT031623_26dpf_25fps,C,1135.173
20230331_WT031623_26dpf_25fps,C,1140.104
20230331_WT031623_26dpf_25fps,X,1172.511
20230331_WT031623_26dpf_25fps,C,1186.082
20230331_WT031623_26dpf_25fps,C,1196.855
20230331_WT031623_26dpf_25fps,S,1213.876
20230331_WT031623_26dpf_25fps,L,1222.852
20230331_WT031623_26dpf_25fps,C,1225.954
20230331_WT031623_26dpf_25fps,C,1231.303
20230331_WT031623_26dpf_25fps,C,1250.581
20230331_WT031623_26dpf_25fps,C,1266.128
20230331_WT031623_26dpf_25fps,X,1277.325
20230331_WT031623_26dpf_25fps,C,1289.724
20230331_WT031623_26dpf_25fps,S,1293.429
20230331_WT031623_26dpf_25fps,C,1321.381
20230331_WT031623_26dpf_25fps,C,1323.029
20230331_WT031623_26dpf_25fps,C,1329.205
20230331_WT031623_26dpf_25fps,X,1336.556
20230331_WT031623_26dpf_25fps,X,1343.327
20230331_WT031623_26dpf_25fps,X,1350.626
20230331_WT031623_26dpf_25fps,X,1355.88
20230331_WT031623_26dpf_25fps,X,1368.581
20230331_WT031623_26dpf_25fps,C,1370.648
20230331_WT031623_26dpf_25fps,X,1395.704
20230331_WT031623_26dpf_25fps,X,1397.924
20230331_WT031623_26dpf_25fps,C,1411.205
20230331_WT031623_26dpf_25fps,X,1420.13
20230331_WT031623_26dpf_25fps,X,1431.18
20230331_WT031623_26dpf_25fps,S,1437.631
20230331_WT031623_26dpf_25fps,C,1447.978
20230331_WT031623_26dpf_25fps,C,1458.48
20230331_WT031623_26dpf_25fps,X,1488.356
20230331_WT031623_26dpf_25fps,C,1498.605
20230331_WT031623_26dpf_25fps,S,1507.324
20230331_WT031623_26dpf_25fps,C,1517.255
20230331_WT031623_26dpf_25fps,C,1521.282
20230331_WT031623_26dpf_25fps,C,1527.356
20230331_WT031623_26dpf_25fps,C,1530.628
20230331_WT031623_26dpf_25fps,X,1542.58
20230331_WT031623_26dpf_25fps,C,1570.73
20230331_WT031623_26dpf_25fps,X,1600.1
20230331_WT031623_26dpf_25fps,S,1613.605
20230331_WT031623_26dpf_25fps,C,1621.429
20230331_WT031623_26dpf_25fps,X,1665.102
20230331_WT031623_26dpf_25fps,X,1678.955
20230331_WT031623_26dpf_25fps,S,1692.98
20230331_WT031623_26dpf_25fps,C,1719.127
20230331_WT031623_26dpf_25fps,C,1722.679
20230331_WT031623_26dpf_25fps,C,1730.052
20230331_WT031623_26dpf_25fps,C,1740.756
20230331_WT031623_26dpf_25fps,X,1753.451
20230331_WT031623_26dpf_25fps,S,1772.299
